Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
60;infrastructure;;70:3A:0E:5D:E6:83;;1;No;WPA2,AES-CCM;No;260.0;0;92;0;0;0;0;0;;;Mon Jan  8 11:57:28 2024;Mon Jan  8 11:58:47 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;YRDSB-Guest;A8:BD:27:E9:39:C2;;1;No;OPN,None;No;260.0;0;65;0;0;0;0;0;;;Mon Jan  8 11:57:28 2024;Mon Jan  8 11:58:44 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;;A8:BD:27:E9:39:C3;;1;No;WPA2,AES-CCM;No;260.0;0;71;0;0;0;0;0;;;Mon Jan  8 11:57:28 2024;Mon Jan  8 11:58:44 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;;A8:BD:27:E9:8B:01;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:57:28 2024;Mon Jan  8 11:58:16 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
64;infrastructure;YRDSB-S;A8:BD:27:E9:3C:81;;1;No;WPA2,AES-CCM;No;260.0;0;12;0;9;0;0;9;;;Mon Jan  8 11:57:29 2024;Mon Jan  8 11:58:50 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
65;infrastructure;YRDSB-A;A8:BD:27:E9:39:C0;;1;No;WPA2,AES-CCM;No;260.0;0;67;0;0;0;0;0;;;Mon Jan  8 11:57:29 2024;Mon Jan  8 11:58:46 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;;70:3A:0E:5D:FA:E3;;11;No;WPA2,AES-CCM;No;260.0;0;58;0;0;0;0;0;;;Mon Jan  8 11:57:30 2024;Mon Jan  8 11:58:49 2024;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
67;infrastructure;YRDSB-A;70:3A:0E:5D:F3:80;;6;No;WPA2,AES-CCM;No;260.0;0;5;0;0;0;0;0;;;Mon Jan  8 11:57:31 2024;Mon Jan  8 11:58:47 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
68;infrastructure;YRDSB-S;70:3A:0E:5D:F3:81;;6;No;WPA2,AES-CCM;No;260.0;0;3;0;0;0;0;0;;;Mon Jan  8 11:57:31 2024;Mon Jan  8 11:58:39 2024;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
69;infrastructure;;70:3A:0E:5D:F3:83;;6;No;WPA2,AES-CCM;No;260.0;0;4;0;0;0;0;0;;;Mon Jan  8 11:57:31 2024;Mon Jan  8 11:58:40 2024;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
70;infrastructure;YRDSB-Guest;70:3A:0E:5E:00:E2;;11;No;OPN,None;No;260.0;0;65;0;0;0;0;0;;;Mon Jan  8 11:57:32 2024;Mon Jan  8 11:58:49 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
